,Location,y,x,N,P,K,pH,temp,climate
411,Kasaba Arale,14.4568889,76.1360854,103,19,174,6.46,30,3
412,Kasaba Bavada,14.4568562,76.1387843,111,23,166,6.95,10,3
413,Kasaba Beed,14.4932755,76.2468473,51,11,184,7.99,38,3
414,Kasaba Karvir,14.5735245,76.4431639,54,7,159,8.62,23,3
415,Kavane,14.5719773,76.4477665,103,22,176,7.62,35,3
416,Kekatwadi,14.5718188,76.4512353,86,34,165,6.64,39,3
417,Kerali,14.5129816,76.3350428,109,13,185,7.03,17,3
418,Kerli,14.0270404,75.9671376,110,11,102,6.63,35,3
419,Khatangale,14.2745,76.0798,124,28,165,6.77,11,3
420,Khebavade,14.3317,75.8846,128,25,181,7.46,10,3
421,Khupire,14.4194,75.9964,75,7,103,6.78,11,3
422,Koge,14.2937,76.0218,118,17,199,6.36,30,3
423,Kogil Bk.,14.3982,75.8803,63,9,149,8.04,9,3
424,KOGIL KHURD,14.4805,76.0784,102,13,166,6.8,28,3
425,Koparde,14.4243,75.9724,74,10,184,7.65,10,3
426,Kothali,14.4822,75.9721,83,14,169,7.61,13,3
427,Kuditre,14.3356,75.9144,123,24,188,6.59,23,3
428,Kurdu,14.1,75.8541,69,8,104,7.74,8,3
429,Kurukali,14.3747,76.1284,65,10,166,8.02,21,3
430,Madale,14.2634,75.9652,75,10,194,8.23,21,3
431,Mahe,14.3932,76.0464,63,33,65,6.81,12,3
432,Mandare,14.3348,75.8657,71,10,54,7.61,15,3
433,Manjarwadi,14.1593,75.6855,115,14,32,6.65,14,3
434,Mhalasvade,14.4982,76.0653,63,9,211,7.85,32,3
435,Mhalunge,14.4933,76.0087,58,5,320,8.15,7,3
436,Mharul,14.3439,76.0892,62,9,75,7.96,37,3
437,Morewadi,14.4546,75.8156,98,10,68,7.01,29,3
438,MUDASHINGI,14.5937,76.0914,65,14,81,7.87,1,3
439,Nagadewadi,14.1566,75.7288,108,9,176,7.54,7,3
440,Nagaon,14.2778,75.9329,125,59,49,6.78,4,3
441,Nandgaon,14.4276,76.0987,63,10,58,7.91,7,3
442,Nandwal,14.4319,76.0697,97,9,49,6.17,4,3
443,Nerli,14.3352,76.0385,124,24,95,7.23,3,3
444,Nigave Dumala,14.4191,76.0385,68,8,102,8.17,28,3
445,Nigave Khalsa,14.0981,75.9536,102,10,60,7.69,27,3
446,Nitawade,14.3037,75.9275,94,8,60,7.7,12,3
447,Pachgaon,14.4149,76.111,125,9,65,5.63,15,3
448,Padali Bk.,14.4191,76.0385,97,9,50,8.1,20,3
449,Padali Kh.,14.3126,75.893,93,14,62,7.35,31,3
450,Padvalwadi,14.3352,76.0385,105,13,109,7.14,33,3
451,Parite,14.029,75.8156,94,10,125,7.13,10,3
452,Pasarde,14.4106,76.0878,98,9,195,5.68,35,3
453,Patekarwadi,14.1,75.8541,102,17,124,7.09,31,3
454,RAJAPUTWADI,14.4234,76.0755,97,21,127,7.37,28,3
455,Sabalewadi,14.2937,76.0218,96,11,118,7.41,23,3
456,Sadale,14.4772,75.8592,85,10,130,5.53,27,3
457,Sadoli Dumala,14.231,76.0653,86,8,131,5.92,5,3
458,Sadoli Khalsa,14.4472,76.0805,87,17,136,6.28,13,3
459,SANGAWADEWADI,14.4619,76.1016,68,8,119,5.57,28,3
460,Sangrul,14.3552,76.0646,79,15,117,7.89,39,3
461,Sangwade,14.4194,75.9964,53,9,118,8.09,28,3
462,Sarnobatwadi,14.4747,76.1186,100,21,123,7.1,9,3
463,Savarde Dumala,14.2672,76.029,70,9,126,5.31,1,3
464,Savarwadi,14.4933,76.0087,103,17,124,7.44,10,3
465,Shelakewadi,14.5402,75.9082,68,9,129,7.85,33,3
466,Shindewadi,14.781,75.987,60,10,118,7.79,26,3
467,Shinganapur,14.3493,76.0479,126,17,111,6.48,10,3
468,Shipekarwadi,14.4468,75.9449,107,13,128,7.66,1,3
469,Shiroli Dumala,14.4319,76.0697,54,7,125,8.02,35,3
470,Shiye,14.3116,76.0718,108,20,111,7.13,7,3
471,Sonali,14.353,76.1472,124,24,17,6.28,34,3
472,Tamgaon,14.353,76.1472,103,20,17,7.73,24,3
473,Tembalaiwadi,14.3239,75.992,80,8,19,5.37,38,3
474,Teraswadi,14.3348,75.8657,83,14,113,7.4,29,3
475,Uchgaon,14.2745,76.0798,85,15,110,7.41,34,3
476,Ujalaiwadi,14.1,75.8541,103,14,114,7.39,14,3
477,Upawade,14.3957,75.923,121,10,124,7.36,34,3
478,VADAKSHIVALE,14.2975,76.0609,111,25,18,6.39,20,3
479,VADANAGE,14.3552,76.0646,69,10,110,7.53,5,3
480,Vakare,14.4659,76.0015,103,20,110,6,33,3
481,VARANAGE,14.5121,75.9133,91,9,133,7.78,8,3
482,VASAGADE,14.4644,75.836,108,17,110,6.94,5,3
483,Vikaswadi,14.2353,76.0174,113,16,114,7.03,18,3
484,Waddwadi,14.4149,76.111,94,10,19,7.83,14,3
485,WADIPEER,14.3957,75.923,94,22,110,7.95,11,3
486,Waghobachiwadi,14.3747,76.1284,102,25,15,7.52,11,3
487,Walivade,14.5782,75.8607,84,7,19,5.25,10,3
488,Washi,14.1983,75.8861,94,13,110,7.4,23,3
489,Yevati,14.3386759,75.8954824,54,9,114,8.1,34,3
490,Alabad,14.5118544,75.911834,81,9,19,5.87,37,3
491,Anur,14.3136707,76.0063787,118,23,159,7.5,2,3
492,Arjuni,14.5272579,75.8687925,121,35,110,7.58,8,3
493,Arjunwada,14.3553599,76.0628503,103,15,19,7.42,28,3
494,Avachitwadi,14.436412,76.0278744,69,11,124,7.76,8,3
495,Bachani,14.503615,75.9756625,59,9,18,7.39,7,3
496,Baleghol,14.2517577,76.0501045,83,17,110,7.5,3,3
497,Balikre,14.3686654,76.1422868,125,27,18,7.04,38,3
498,Bamani,14.3975687,75.8778209,91,15,19,7.65,3,3
499,Banage,14.3553599,76.0628503,99,17,19,7.78,22,3
500,Bastavade,14.3036453,75.9019419,95,13,114,7.46,31,3
501,Belawale Bk.,14.2366783,75.9652015,59,10,113,8.02,16,3
502,Belawale Kh.,13.9838179,75.9065506,90,27,110,6.36,11,3
503,Belewadi Kalamma,14.1749352,76.0568046,71,14,19,7.52,14,3
504,Belewadi Masa,14.4634348,75.918789,71,10,117,7.67,25,3
505,Benikre,14.2948031,75.8700015,111,21,121,7.98,15,3
506,Bhadagaon,14.1975264,75.9168761,98,17,111,6.59,12,3
507,Bidri,14.2001919,75.8045242,59,8,110,4.68,31,3
508,Bolavi,14.3909383,75.9311579,64,13,18,8.01,30,3
509,Bolaviwadi,14.2251466,75.8557802,71,10,117,7.81,15,3
510,Boravade,14.0379407,75.9840846,74,9,18,8.01,14,3
511,Chaundal,14.250678,75.8714962,126,43,115,5.42,12,3
512,Chikhali,14.0058385,75.5285688,109,17,19,7.61,9,3
513,Chimagaon,13.6910462,75.8846808,96,16,17,6.56,30,3
514,Daulatwadi,14.2036121,75.986013,80,13,121,7.54,34,3
515,Ekondi,13.9671209,75.8957004,103,5,19,5.62,22,3
516,Galgale,13.9071565,75.8784031,119,7,117,5.78,33,3
517,Gorambe,14.1289597,75.6509221,95,6,19,4.78,22,3
518,Haladi,14.0902129,75.8644466,69,10,110,7.85,27,3
519,Haldavade,14.1350354,76.0033321,76,12,117,7.56,26,3
520,Hamidwada,14.2096411,75.9293353,61,9,113,8.18,9,3
521,Hasur Bk.,13.9045227,75.9039237,95,7,17,5.69,8,3
522,Hasur Kh.,13.8657352,75.9915601,95,10,120,6.08,18,3
523,Jainyal,13.8749399,75.938996,56,7,124,4.8,18,3
524,Kagal,14.2169268,75.74041,121,25,120,7.5,12,3
525,Kapashi,13.988401,75.7215168,79,6,18,5.7,4,3
526,Karanjivane,14.2524031,75.7408561,69,10,114,7.59,29,3
527,Kardyal,14.1304415,76.0983802,74,19,115,6.22,19,3
528,Karnoor,13.8209761,75.8425662,104,23,114,7.42,10,3
529,Kasaba Sangaon,13.9656724,75.8556854,104,19,110,7.5,29,3
530,Kasari,14.2072687,75.7375302,55,8,125,8.19,21,3
531,Kaulage,13.8647284,75.9675596,105,17,110,6.75,9,3
532,Kembali,14.0642222,75.9417272,69,7,120,5.51,28,3
533,Kenavade,13.9890913,75.911375,66,9,19,8.09,8,3
534,Khadakewada,14.2132058,75.8463287,74,7,117,6.68,18,3
535,Kurni,14.2925383,75.764025,99,8,116,7.81,10,3
536,Kurukali,14.5593906,75.9358213,87,14,110,7.74,0,3
537,Lingnoor Kapshi,14.4892224,75.7536371,83,21,122,7.72,35,3
538,Lingnur Dumala,14.5970054,76.0590847,99,21,125,6.75,7,3
539,Madyal,14.5248204,76.0137946,103,20,17,7.27,22,3
540,Malage Bk.,14.5194496,75.839222,113,17,113,6.73,23,3
541,Malage Kh.,14.4790728,75.9545052,65,13,19,7.64,20,3
542,Mangnoor,14.3537297,75.9436584,60,14,19,7.65,34,3
543,Mauje Sangaon,14.6046608,75.8903224,68,10,19,7.65,29,3
544,Metage,14.4580832,75.8736073,125,21,123,6.59,13,3
545,Mhakave,14.710429,75.7920813,61,9,135,7.5,25,3
546,Mugali,14.5376414,76.0198949,104,25,133,7.32,12,3
547,Muragud,14.5116611,75.6219489,54,9,115,8.35,24,3
548,Nandyal,14.7277858,75.9697075,89,13,111,7.72,1,3
549,Nidhori,14.5449656,76.4877587,89,14,19,7.45,4,3
550,Pharakatewadi,14.3994392,75.8055728,125,9,117,6.08,39,3
551,Pimpalgaon Bk.,14.450696,75.7240659,121,25,117,6.78,5,3
552,Pimpalgaon Kh.,14.6264435,75.8150169,109,33,111,7.96,29,3
553,Pirachiwadi,14.3687657,75.7728445,66,10,127,7.87,25,3
554,Randivewadi,14.4713545,75.5101276,74,9,115,8.21,8,3
555,Sake,14.4545309,75.7853768,90,9,19,8.26,36,3
556,Savarde Bk.,14.4652303,75.7076615,120,15,117,7.19,0,3
557,Savarde Kh.,14.430573,75.7277611,114,21,113,7.23,23,3
558,Shankarwadi,14.3826246,75.698778,64,15,110,7.83,7,3
559,Shendur,14.2488653,75.6122063,73,10,127,6.85,26,3
560,Shindewadi,14.4479221,75.7018894,104,21,114,7.55,36,3
561,Siddhanerli,14.5501159,75.7674051,84,14,110,7.41,15,3
562,Sonage,14.3880079,75.7342476,79,15,121,7.69,31,3
563,Sonali,14.2528129,75.6987264,95,21,117,7.5,20,3
564,Sulkud,14.4850512,75.7321662,69,13,18,7.68,20,3
565,Surupali,14.2148461,75.7170274,109,6,113,5.67,29,3
566,Tamanakwada,14.2125272,75.708155,96,25,113,7.17,35,3
567,Thanewadi,14.2973216,75.7964372,94,13,110,6.7,36,3
568,Undarwadi,14.5599968,76.1477369,66,9,19,8.15,4,3
569,VADGAON,14.4939156,76.1803588,65,13,133,7.79,7,3
570,Valave Kh.,14.5302155,76.1501937,76,9,19,8.03,33,3
571,Vandoor,14.5314407,76.1697438,115,9,143,6.38,35,3
572,Vhanali,14.6816462,76.3183469,64,9,117,8.04,11,3
573,Vhannur,14.5497006,76.3062188,82,24,116,7.39,20,3
574,Panhala,14.4566396,76.1378717,97,15,113,7.72,10,3
